Município1,Código Município IBGE,População estimada (2020),UF1,05/03/20,06/03/20,12/03/20,13/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20,16/07/20,17/07/20,18/07/20,19/07/20,20/07/20,21/07/20,22/07/20,23/07/20,24/07/20,25/07/20,26/07/20,27/07/20,28/07/20,29/07/20,30/07/20,31/07/20,01/08/20,02/08/20,03/08/20,04/08/20,05/08/20,06/08/20,07/08/20,08/08/20,09/08/20,10/08/20,11/08/20,12/08/20,13/08/20,14/08/20,15/08/20,16/08/20,17/08/20,18/08/20,19/08/20,20/08/20,21/08/20,22/08/20,23/08/20,24/08/20,25/08/20,26/08/20,27/08/20,28/08/20,29/08/20,30/08/20,31/08/20,01/09/20,02/09/20,03/09/20,04/09/20,05/09/20,06/09/20,07/09/20,08/09/20,09/09/20,10/09/20,11/09/20,12/09/20,13/09/20,14/09/20,15/09/20,16/09/20,17/09/20,18/09/20,19/09/20,20/09/20,21/09/20,22/09/20,23/09/20,24/09/20,25/09/20,26/09/20,27/09/20,28/09/20,29/09/20,30/09/20,01/10/20,02/10/20,03/10/20,04/10/20,05/10/20,06/10/20,07/10/20,08/10/20,09/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,01/11/20,02/11/20,03/11/20,04/11/20,05/11/20,06/11/20,07/11/20,08/11/20,09/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,01/12/20,02/12/20,03/12/20
AMERICANA,3501608,242018,SP,35%,34%,31%,34%,39%,41%,42%,43%,57%,56%,51%,53%,54%,54%,52%,56%,59%,54%,54%,54%,53%,53%,58%,58%,50%,50%,49%,46%,57%,53%,58%,47%,48%,47%,47%,45%,49%,58%,48%,55%,45%,45%,45%,50%,57%,45%,45%,44%,43%,54%,50%,56%,45%,44%,43%,43%,42%,47%,51%,44%,43%,43%,43%,43%,46%,50%,45%,44%,43%,44%,44%,46%,50%,44%,41%,44%,44%,44%,48%,50%,44%,45%,44%,44%,43%,47%,48%,43%,44%,43%,46%,42%,45%,48%,43%,43%,43%,42%,42%,44%,48%,43%,44%,44%,43%,42%,45%,48%,42%,43%,43%,42%,42%,44%,48%,42%,43%,43%,43%,43%,44%,48%,43%,43%,42%,43%,42%,44%,48%,40%,39%,40%,38%,38%,43%,48%,40%,39%,39%,40%,39%,42%,48%,39%,39%,38%,38%,37%,41%,44%,39%,39%,38%,35%,36%,37%,43%,36%,37%,35%,35%,36%,37%,41%,35%,35%,36%,35%,35%,34%,39%,35%,35%,33%,35%,34%,35%,39%,39%,34%,33%,33%,32%,35%,40%,34%,34%,34%,33%,34%,36%,38%,33%,34%,34%,33%,33%,34%,41%,33%,34%,33%,32%,32%,36%,42%,37%,38%,36%,37%,37%,37%,44%,44%,37%,35%,37%,39%,38%,43%,37%,37%,37%,36%,34%,38%,43%,37%,37%,36%,36%,36%,43%,41%,45%,36%,37%,35%,35%,37%,43%,37%,37%,36%,35%,35%,37%,41%,37%,36%,36%,35%,35%,37%,43%,36%,36%,36%,36%,35%,38%,43%,37%,36%,36%,36%
AMPARO,3501905,72677,SP,41%,40%,38%,40%,45%,46%,47%,48%,62%,58%,55%,55%,55%,54%,55%,56%,60%,54%,57%,57%,56%,56%,59%,61%,54%,52%,54%,51%,65%,59%,63%,53%,52%,53%,52%,51%,57%,63%,54%,60%,51%,51%,51%,55%,63%,51%,51%,51%,49%,58%,56%,62%,50%,50%,50%,50%,48%,51%,57%,50%,50%,50%,49%,49%,47%,52%,45%,44%,44%,45%,44%,47%,54%,49%,43%,44%,44%,43%,46%,51%,43%,44%,44%,43%,43%,48%,49%,39%,42%,42%,45%,42%,43%,47%,40%,38%,41%,39%,40%,43%,46%,40%,40%,40%,39%,39%,42%,47%,40%,41%,40%,40%,40%,41%,47%,40%,40%,40%,40%,40%,43%,47%,41%,41%,40%,40%,41%,44%,48%,41%,40%,41%,39%,39%,43%,48%,40%,39%,41%,40%,39%,39%,49%,40%,39%,40%,,39%,40%,46%,40%,41%,37%,38%,41%,41%,48%,40%,41%,39%,40%,40%,40%,47%,39%,39%,39%,39%,38%,38%,47%,40%,38%,38%,38%,37%,39%,41%,45%,41%,37%,38%,38%,39%,44%,38%,38%,39%,38%,39%,39%,42%,39%,38%,38%,38%,37%,37%,43%,39%,38%,36%,37%,37%,37%,43%,37%,37%,37%,38%,38%,36%,45%,44%,35%,39%,36%,39%,40%,45%,38%,38%,38%,36%,37%,40%,44%,37%,37%,37%,37%,36%,40%,45%,43%,39%,37%,36%,37%,37%,42%,38%,37%,38%,36%,37%,37%,41%,38%,37%,37%,37%,39%,37%,40%,37%,36%,37%,38%,39%,36%,41%,37%,36%,37%,38%
ARAÇATUBA,3502804,198129,SP,31%,30%,29%,31%,36%,37%,38%,39%,51%,51%,47%,49%,48%,48%,45%,48%,52%,48%,48%,48%,48%,47%,51%,52%,45%,44%,43%,40%,52%,47%,52%,43%,44%,43%,42%,41%,46%,53%,42%,52%,41%,40%,40%,45%,52%,41%,40%,40%,39%,51%,44%,51%,40%,39%,38%,39%,37%,42%,45%,39%,39%,38%,39%,39%,41%,46%,42%,40%,40%,40%,39%,43%,45%,46%,37%,39%,39%,39%,43%,45%,38%,41%,39%,39%,38%,45%,47%,40%,38%,38%,43%,38%,39%,45%,41%,40%,40%,39%,37%,41%,45%,39%,40%,39%,38%,37%,41%,45%,38%,41%,39%,39%,39%,40%,45%,38%,37%,39%,40%,37%,40%,45%,39%,40%,38%,39%,37%,40%,45%,38%,38%,39%,36%,34%,37%,43%,37%,37%,36%,36%,34%,38%,43%,36%,34%,34%,34%,34%,36%,40%,36%,35%,35%,35%,36%,37%,44%,35%,36%,36%,36%,35%,36%,40%,34%,36%,34%,34%,33%,35%,40%,35%,36%,34%,34%,34%,35%,38%,40%,33%,34%,34%,32%,36%,38%,35%,34%,35%,35%,34%,36%,39%,35%,36%,35%,34%,34%,35%,39%,34%,33%,34%,34%,34%,33%,39%,33%,35%,33%,34%,33%,34%,38%,40%,32%,34%,34%,35%,33%,40%,35%,35%,35%,35%,34%,34%,38%,36%,34%,34%,34%,34%,37%,40%,39%,34%,34%,34%,32%,35%,41%,34%,34%,35%,33%,33%,34%,38%,35%,36%,34%,34%,35%,35%,40%,35%,34%,34%,34%,35%,36%,39%,36%,35%,37%,35%
ARARAQUARA,3503208,238339,SP,32%,30%,28%,30%,35%,37%,38%,38%,49%,51%,47%,49%,51%,50%,48%,50%,54%,51%,51%,50%,49%,49%,52%,53%,47%,46%,45%,41%,53%,48%,53%,45%,46%,45%,44%,43%,47%,54%,44%,53%,42%,42%,42%,47%,53%,43%,42%,42%,40%,52%,46%,53%,41%,41%,41%,40%,38%,42%,47%,40%,40%,40%,41%,39%,44%,49%,42%,41%,42%,41%,40%,45%,50%,46%,39%,41%,42%,40%,44%,47%,40%,40%,39%,39%,39%,46%,47%,39%,39%,38%,42%,39%,41%,45%,37%,38%,38%,37%,37%,39%,45%,38%,38%,38%,37%,37%,41%,45%,38%,38%,38%,38%,37%,39%,44%,37%,36%,37%,38%,36%,39%,44%,37%,37%,37%,37%,38%,41%,46%,37%,37%,37%,37%,36%,39%,45%,38%,37%,37%,37%,36%,38%,44%,37%,36%,36%,36%,35%,38%,42%,38%,37%,36%,36%,37%,39%,46%,38%,38%,37%,37%,37%,41%,46%,37%,37%,36%,37%,35%,37%,44%,37%,37%,36%,36%,34%,36%,40%,43%,35%,36%,35%,35%,37%,42%,37%,37%,36%,36%,36%,37%,44%,36%,38%,37%,36%,36%,38%,42%,36%,37%,36%,36%,35%,36%,43%,36%,36%,35%,36%,36%,36%,42%,44%,35%,36%,36%,37%,38%,43%,36%,36%,36%,35%,36%,38%,42%,36%,36%,36%,36%,35%,39%,43%,42%,35%,36%,35%,34%,38%,40%,34%,34%,35%,34%,34%,38%,40%,35%,35%,34%,34%,36%,38%,40%,35%,35%,35%,35%,37%,38%,41%,35%,34%,35%,35%
ARARAS,3503307,135506,SP,37%,35%,34%,36%,42%,42%,43%,44%,56%,56%,52%,53%,54%,53%,52%,55%,58%,55%,54%,48%,48%,52%,56%,58%,50%,50%,49%,47%,61%,54%,59%,51%,51%,50%,48%,48%,52%,60%,50%,59%,48%,48%,48%,52%,59%,49%,47%,46%,45%,55%,51%,58%,47%,46%,46%,45%,44%,47%,53%,47%,45%,46%,48%,45%,45%,50%,44%,42%,43%,43%,42%,46%,51%,47%,41%,44%,43%,42%,47%,50%,42%,42%,43%,42%,41%,46%,47%,41%,41%,41%,45%,41%,43%,48%,41%,41%,41%,40%,41%,43%,47%,42%,41%,41%,42%,41%,44%,48%,42%,42%,41%,41%,41%,44%,49%,42%,41%,41%,41%,40%,43%,49%,41%,41%,42%,40%,42%,43%,49%,40%,40%,40%,39%,39%,43%,48%,41%,39%,40%,39%,39%,41%,48%,36%,37%,37%,37%,38%,39%,46%,38%,39%,38%,38%,38%,42%,48%,40%,39%,39%,39%,38%,41%,46%,39%,39%,38%,39%,38%,39%,45%,37%,39%,38%,38%,37%,38%,42%,45%,38%,38%,37%,37%,38%,43%,37%,38%,37%,37%,37%,38%,43%,38%,38%,38%,37%,37%,39%,42%,37%,38%,38%,38%,37%,37%,42%,37%,37%,37%,37%,37%,36%,43%,43%,36%,36%,37%,37%,38%,42%,38%,36%,37%,37%,36%,39%,44%,38%,37%,36%,37%,36%,40%,43%,44%,37%,37%,35%,36%,38%,43%,36%,36%,36%,35%,36%,38%,42%,36%,36%,37%,36%,38%,39%,42%,37%,36%,37%,34%,38%,39%,42%,34%,36%,37%,36%
ARUJÁ,3503901,91157,SP,36%,34%,31%,35%,40%,41%,43%,44%,57%,55%,51%,51%,54%,53%,55%,59%,60%,51%,56%,55%,54%,55%,61%,62%,51%,51%,51%,52%,50%,63%,67%,55%,55%,54%,53%,52%,58%,65%,55%,62%,52%,52%,51%,57%,63%,52%,52%,51%,51%,60%,57%,66%,50%,51%,50%,52%,49%,55%,61%,52%,52%,50%,52%,51%,49%,54%,46%,45%,46%,46%,45%,49%,54%,50%,44%,45%,45%,44%,50%,52%,44%,45%,45%,44%,43%,46%,51%,45%,43%,44%,47%,43%,46%,51%,45%,44%,44%,43%,41%,45%,50%,43%,43%,43%,41%,42%,46%,50%,43%,42%,41%,41%,41%,44%,49%,42%,42%,41%,42%,41%,44%,49%,42%,42%,42%,42%,41%,44%,48%,39%,39%,38%,38%,37%,41%,48%,40%,39%,39%,38%,38%,39%,48%,38%,38%,37%,36%,35%,38%,43%,34%,36%,35%,36%,35%,37%,47%,35%,36%,37%,36%,35%,38%,41%,35%,36%,34%,32%,32%,36%,40%,35%,34%,35%,34%,33%,36%,39%,40%,34%,34%,34%,33%,35%,39%,34%,34%,33%,34%,33%,35%,41%,35%,36%,35%,32%,32%,34%,39%,33%,33%,33%,34%,32%,33%,39%,33%,32%,33%,34%,33%,34%,37%,40%,31%,33%,34%,35%,34%,42%,33%,34%,33%,35%,34%,36%,42%,35%,34%,34%,35%,35%,42%,43%,43%,34%,36%,34%,32%,36%,41%,34%,33%,34%,33%,33%,34%,40%,33%,35%,35%,33%,36%,36%,40%,34%,35%,35%,34%,35%,34%,38%,34%,33%,35%,33%
ASSIS,3504008,105087,SP,36%,34%,31%,34%,40%,42%,44%,45%,54%,55%,52%,54%,54%,54%,52%,54%,57%,56%,55%,55%,53%,53%,55%,56%,51%,50%,48%,45%,60%,51%,56%,49%,48%,48%,45%,46%,51%,57%,48%,57%,47%,46%,46%,50%,57%,47%,46%,47%,45%,57%,49%,57%,45%,44%,46%,45%,43%,44%,47%,46%,45%,47%,46%,45%,47%,51%,44%,43%,43%,43%,42%,48%,53%,47%,42%,43%,41%,41%,45%,49%,42%,41%,41%,41%,40%,44%,50%,41%,40%,39%,45%,39%,41%,46%,39%,41%,40%,39%,39%,42%,46%,41%,41%,40%,39%,40%,44%,48%,41%,42%,43%,40%,40%,43%,49%,41%,39%,39%,41%,39%,41%,47%,40%,40%,40%,40%,40%,40%,47%,39%,39%,39%,38%,38%,41%,47%,39%,38%,39%,40%,40%,40%,46%,39%,37%,35%,32%,32%,36%,36%,37%,36%,37%,37%,40%,40%,49%,41%,41%,40%,40%,40%,42%,47%,39%,39%,39%,38%,37%,38%,44%,38%,39%,38%,37%,36%,37%,38%,44%,36%,37%,36%,35%,38%,41%,38%,37%,37%,38%,37%,37%,43%,38%,39%,39%,38%,38%,38%,42%,39%,38%,36%,39%,37%,37%,43%,38%,36%,38%,38%,37%,36%,42%,45%,37%,37%,37%,38%,39%,42%,38%,38%,38%,38%,37%,39%,42%,38%,38%,38%,37%,36%,38%,43%,44%,38%,38%,37%,36%,37%,41%,38%,39%,37%,37%,36%,36%,41%,36%,38%,37%,36%,37%,37%,41%,37%,38%,37%,37%,37%,37%,41%,37%,36%,37%,37%
ATIBAIA,3504107,144088,SP,36%,33%,33%,35%,41%,42%,43%,44%,56%,58%,54%,56%,56%,56%,56%,58%,61%,58%,58%,58%,58%,57%,60%,61%,54%,51%,50%,50%,61%,56%,61%,52%,52%,52%,49%,50%,55%,60%,52%,59%,49%,48%,49%,53%,60%,48%,48%,49%,48%,57%,52%,60%,46%,47%,47%,48%,45%,49%,55%,47%,47%,47%,48%,47%,48%,52%,46%,44%,45%,44%,45%,49%,54%,47%,42%,44%,44%,43%,50%,51%,43%,42%,43%,44%,42%,46%,53%,43%,41%,41%,47%,42%,45%,49%,42%,42%,41%,41%,40%,44%,49%,42%,42%,44%,40%,42%,45%,49%,42%,43%,41%,41%,41%,44%,48%,42%,42%,41%,42%,41%,45%,49%,41%,42%,41%,41%,42%,44%,48%,38%,38%,38%,38%,38%,41%,46%,38%,37%,39%,37%,38%,39%,44%,37%,38%,37%,37%,35%,38%,44%,37%,38%,37%,36%,38%,40%,46%,39%,39%,38%,38%,38%,40%,46%,36%,37%,38%,38%,37%,39%,45%,37%,37%,38%,36%,35%,37%,44%,44%,36%,38%,37%,37%,38%,44%,37%,37%,37%,37%,37%,37%,42%,38%,39%,37%,37%,36%,38%,41%,38%,36%,36%,36%,36%,38%,42%,35%,36%,36%,36%,36%,36%,44%,42%,34%,35%,36%,37%,39%,43%,36%,37%,37%,37%,35%,38%,44%,38%,39%,38%,38%,38%,41%,47%,45%,37%,38%,37%,37%,40%,44%,38%,38%,38%,37%,37%,39%,43%,38%,38%,38%,37%,37%,39%,43%,38%,38%,38%,38%,37%,39%,43%,38%,37%,37%,37%
AVARÉ,3504503,91232,SP,38%,35%,34%,37%,42%,43%,45%,44%,51%,57%,55%,53%,55%,55%,54%,55%,57%,57%,57%,56%,55%,55%,57%,58%,52%,51%,49%,47%,61%,55%,60%,51%,53%,52%,50%,50%,55%,62%,52%,59%,50%,48%,48%,53%,60%,49%,49%,49%,47%,60%,54%,61%,48%,48%,48%,48%,45%,49%,54%,47%,47%,47%,48%,47%,49%,50%,46%,44%,45%,45%,44%,50%,55%,50%,43%,44%,45%,44%,47%,50%,44%,45%,44%,42%,43%,49%,52%,44%,44%,44%,48%,44%,45%,51%,44%,44%,43%,41%,42%,45%,51%,44%,44%,43%,43%,43%,48%,52%,45%,45%,44%,44%,43%,46%,50%,43%,42%,42%,43%,43%,44%,49%,43%,42%,41%,41%,42%,44%,49%,41%,42%,42%,41%,41%,44%,50%,43%,42%,43%,42%,42%,45%,51%,42%,42%,42%,41%,40%,42%,48%,42%,42%,41%,41%,42%,44%,52%,44%,45%,43%,43%,42%,45%,52%,42%,41%,43%,43%,42%,41%,48%,42%,42%,42%,41%,41%,43%,48%,47%,40%,41%,42%,41%,42%,48%,41%,45%,40%,41%,42%,43%,48%,42%,42%,41%,41%,42%,42%,47%,42%,43%,41%,41%,41%,41%,49%,41%,40%,40%,41%,42%,40%,49%,47%,39%,41%,40%,41%,43%,48%,40%,40%,41%,41%,41%,43%,47%,41%,41%,40%,40%,42%,44%,50%,46%,40%,40%,39%,39%,41%,46%,39%,41%,40%,40%,40%,40%,45%,41%,41%,41%,40%,40%,42%,45%,41%,41%,41%,41%,41%,42%,46%,41%,40%,41%,41%
BARRETOS,3505500,122833,SP,41%,39%,36%,39%,44%,44%,44%,46%,57%,55%,52%,52%,52%,51%,53%,55%,58%,56%,55%,53%,54%,53%,58%,58%,51%,49%,49%,45%,58%,53%,58%,47%,48%,48%,47%,40%,51%,59%,47%,57%,47%,46%,45%,51%,59%,46%,45%,45%,43%,55%,53%,56%,45%,45%,44%,43%,42%,48%,54%,45%,43%,44%,44%,44%,43%,45%,42%,41%,41%,42%,40%,43%,46%,43%,40%,41%,41%,41%,47%,46%,40%,41%,40%,40%,40%,41%,45%,40%,41%,41%,42%,39%,42%,44%,40%,40%,38%,38%,40%,42%,42%,39%,41%,40%,38%,40%,40%,42%,39%,41%,38%,39%,40%,40%,44%,39%,39%,39%,41%,36%,40%,43%,39%,39%,39%,40%,39%,41%,43%,37%,36%,38%,37%,37%,38%,43%,38%,35%,37%,36%,36%,38%,43%,38%,37%,37%,37%,35%,38%,41%,35%,36%,36%,36%,38%,39%,43%,37%,37%,37%,37%,37%,38%,42%,37%,38%,35%,36%,35%,35%,41%,37%,38%,36%,38%,36%,38%,42%,39%,36%,37%,36%,36%,38%,39%,37%,35%,36%,36%,37%,38%,42%,39%,36%,37%,36%,36%,37%,42%,38%,37%,37%,34%,35%,34%,41%,36%,34%,33%,35%,35%,34%,39%,42%,35%,38%,36%,38%,37%,42%,35%,37%,37%,36%,35%,39%,39%,36%,38%,36%,37%,36%,48%,39%,40%,36%,36%,35%,35%,39%,41%,35%,35%,36%,35%,35%,40%,39%,35%,37%,36%,36%,35%,38%,41%,34%,,35%,35%,35%,41%,42%,37%,36%,37%,34%
